f_code,coc,nam,laa,pop,ypc,adm_code,salb,soc
FA001,JPN,Hokkai Do,Suttsu Cho,"3353","2014","01392",UNK,JPN
FA001,JPN,Hokkai Do,Kuromatsunai Cho,"3136","2014","01393",UNK,JPN
FA001,JPN,Hokkai Do,Rankoshi Cho,"5133","2014","01394",UNK,JPN
FA001,JPN,Hokkai Do,Niseko Cho,"4857","2014","01395",UNK,JPN
FA001,JPN,Hokkai Do,Makkari Mura,"2151","2014","01396",UNK,JPN
FA001,JPN,Hokkai Do,Rusutsu Mura,"1905","2014","01397",UNK,JPN
FA001,JPN,Hokkai Do,Kimobetsu Cho,"2448","2014","01398",UNK,JPN
FA001,JPN,Hokkai Do,Kyogoku Cho,"3267","2014","01399",UNK,JPN
FA001,JPN,Hokkai Do,Kutchan Cho,"15816","2014","01400",UNK,JPN
FA001,JPN,Hokkai Do,Kyowa Cho,"6399","2014","01401",UNK,JPN
FA001,JPN,Hokkai Do,Iwanai Cho,"14146","2014","01402",UNK,JPN
FA001,JPN,Hokkai Do,Tomari Mura,"1825","2014","01403",UNK,JPN
FA001,JPN,Hokkai Do,Kamoenai Mura,"977","2014","01404",UNK,JPN
FA001,JPN,Hokkai Do,Shakotan Cho,"2386","2014","01405",UNK,JPN
FA001,JPN,Hokkai Do,Shakotan Cho,"-89999999","2014","01405",UNK,JPN
FA001,JPN,Hokkai Do,Furubira Cho,"3512","2014","01406",UNK,JPN
FA001,JPN,Hokkai Do,Niki Cho,"3595","2014","01407",UNK,JPN
FA001,JPN,Hokkai Do,Yoichi Cho,"20459","2014","01408",UNK,JPN
FA001,JPN,Hokkai Do,Akaigawa Mura,"1143","2014","01409",UNK,JPN
FA001,JPN,Hokkai Do,Nanporo Cho,"8280","2014","01423",UNK,JPN
FA001,JPN,Hokkai Do,Naie Cho,"5987","2014","01424",UNK,JPN
FA001,JPN,Hokkai Do,Kamisunagawa Cho,"3630","2014","01425",UNK,JPN
FA001,JPN,Hokkai Do,Yuni Cho,"5704","2014","01427",UNK,JPN
FA001,JPN,Hokkai Do,Naganuma Cho,"11655","2014","01428",UNK,JPN
FA001,JPN,Hokkai Do,Kuriyama Cho,"12930","2014","01429",UNK,JPN
FA001,JPN,Hokkai Do,Tsukigata Cho,"3708","2014","01430",UNK,JPN
FA001,JPN,Hokkai Do,Urausu Cho,"2102","2014","01431",UNK,JPN
FA001,JPN,Hokkai Do,Shintotsukawa Cho,"6967","2014","01432",UNK,JPN
FA001,JPN,Hokkai Do,Moseushi Cho,"3330","2014","01433",UNK,JPN
FA001,JPN,Hokkai Do,Chippubetsu Cho,"2646","2014","01434",UNK,JPN
FA001,JPN,Hokkai Do,Uryu Cho,"2780","2014","01436",UNK,JPN
FA001,JPN,Hokkai Do,Hokuryu Cho,"2080","2014","01437",UNK,JPN
FA001,JPN,Hokkai Do,Numata Cho,"3416","2014","01438",UNK,JPN
FA001,JPN,Hokkai Do,Takasu Cho,"7300","2014","01452",UNK,JPN
FA001,JPN,Hokkai Do,Higashikagura Cho,"10050","2014","01453",UNK,JPN
FA001,JPN,Hokkai Do,Toma Cho,"7005","2014","01454",UNK,JPN
FA001,JPN,Hokkai Do,Pippu Cho,"4000","2014","01455",UNK,JPN
FA001,JPN,Hokkai Do,Aibetsu Cho,"3207","2014","01456",UNK,JPN
FA001,JPN,Hokkai Do,Kamikawa Cho,"4064","2014","01457",UNK,JPN
FA001,JPN,Hokkai Do,Higashikawa Cho,"7948","2014","01458",UNK,JPN
FA001,JPN,Hokkai Do,Biei Cho,"10681","2014","01459",UNK,JPN
FA001,JPN,Hokkai Do,Kamifurano Cho,"11498","2014","01460",UNK,JPN
FA001,JPN,Hokkai Do,Nakafurano Cho,"5401","2014","01461",UNK,JPN
FA001,JPN,Hokkai Do,Minamifurano Cho,"2744","2014","01462",UNK,JPN
FA001,JPN,Hokkai Do,Shimukappu Mura,"1220","2014","01463",UNK,JPN
FA001,JPN,Hokkai Do,Wassamu Cho,"3768","2014","01464",UNK,JPN
FA001,JPN,Hokkai Do,Kenbuchi Cho,"3451","2014","01465",UNK,JPN
FA001,JPN,Hokkai Do,Shimokawa Cho,"3531","2014","01468",UNK,JPN
FA001,JPN,Hokkai Do,Bifuka Cho,"4791","2014","01469",UNK,JPN
FA001,JPN,Hokkai Do,Otoineppu Mura,"828","2014","01470",UNK,JPN
FA001,JPN,Hokkai Do,Nakagawa Cho,"1743","2014","01471",UNK,JPN
FA001,JPN,Hokkai Do,Horokanai Cho,"1645","2014","01472",UNK,JPN
FA001,JPN,Hokkai Do,Mashike Cho,"5003","2014","01481",UNK,JPN
FA001,JPN,Hokkai Do,Obira Cho,"3473","2014","01482",UNK,JPN
FA001,JPN,Hokkai Do,Tomamae Cho,"3482","2014","01483",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"7719","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"-89999999","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Haboro Cho,"-89999999","2014","01484",UNK,JPN
FA001,JPN,Hokkai Do,Shosanbetsu Mura,"1352","2014","01485",UNK,JPN
FA001,JPN,Hokkai Do,Enbetsu Cho,"2951","2014","01486",UNK,JPN
FA001,JPN,Hokkai Do,Teshio Cho,"3424","2014","01487",UNK,JPN
FA001,JPN,Hokkai Do,Sarufutsu Mura,"2820","2014","01511",UNK,JPN
FA001,JPN,Hokkai Do,Hamatonbetsu Cho,"4000","2014","01512",UNK,JPN
FA001,JPN,Hokkai Do,Nakatonbetsu Cho,"1907","2014","01513",UNK,JPN
FA001,JPN,Hokkai Do,Esashi Cho,"8891","2014","01514",UNK,JPN
FA001,JPN,Hokkai Do,Toyotomi Cho,"4217","2014","01516",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"2818","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rebun Cho,"-89999999","2014","01517",UNK,JPN
FA001,JPN,Hokkai Do,Rishiri Cho,"2290","2014","01518",UNK,JPN
FA001,JPN,Hokkai Do,Rishirifuji Cho,"2784","2014","01519",UNK,JPN
FA001,JPN,Hokkai Do,Horonobe Cho,"2553","2014","01520",UNK,JPN
FA001,JPN,Hokkai Do,Bihoro Cho,"21038","2014","01543",UNK,JPN
FA001,JPN,Hokkai Do,Tsubetsu Cho,"5369","2014","01544",UNK,JPN
FA001,JPN,Hokkai Do,Shari Cho,"12339","2014","01545",UNK,JPN
FA001,JPN,Hokkai Do,Kiyosato Cho,"4406","2014","01546",UNK,JPN
FA001,JPN,Hokkai Do,Koshimizu Cho,"5279","2014","01547",UNK,JPN
FA001,JPN,Hokkai Do,Kunneppu Cho,"5410","2014","01549",UNK,JPN
FA001,JPN,Hokkai Do,Oketo Cho,"3209","2014","01550",UNK,JPN
FA001,JPN,Hokkai Do,Saroma Cho,"5744","2014","01552",UNK,JPN
FA001,JPN,Hokkai Do,Engaru Cho,"21747","2014","01555",UNK,JPN
FA001,JPN,Hokkai Do,Yubetsu Cho,"9715","2014","01559",UNK,JPN
FA001,JPN,Hokkai Do,Takinoue Cho,"2895","2014","01560",UNK,JPN
FA001,JPN,Hokkai Do,Okoppe Cho,"4160","2014","01561",UNK,JPN
FA001,JPN,Hokkai Do,Nishiokoppe Mura,"1173","2014","01562",UNK,JPN
FA001,JPN,Hokkai Do,Omu Cho,"4784","2014","01563",UNK,JPN
FA001,JPN,Hokkai Do,Ozora Cho,"7841","2014","01564",UNK,JPN
FA001,JPN,Hokkai Do,Toyoura Cho,"4369","2014","01571",UNK,JPN
FA001,JPN,Hokkai Do,Sobetsu Cho,"2751","2014","01575",UNK,JPN
FA001,JPN,Hokkai Do,Shiraoi Cho,"18743","2014","01578",UNK,JPN
FA001,JPN,Hokkai Do,Atsuma Cho,"4733","2014","01581",UNK,JPN
FA001,JPN,Hokkai Do,Toyako Cho,"9783","2014","01584",UNK,JPN
FA001,JPN,Hokkai Do,Abira Cho,"8684","2014","01585",UNK,JPN
FA001,JPN,Hokkai Do,Mukawa Cho,"9212","2014","01586",UNK,JPN
FA001,JPN,Hokkai Do,Hidaka Cho,"-89999999","2014","01601",UNK,JPN
FA001,JPN,Hokkai Do,Hidaka Cho,"13156","2014","01601",UNK,JPN
FA001,JPN,Hokkai Do,Biratori Cho,"5520","2014","01602",UNK,JPN
FA001,JPN,Hokkai Do,Niikappu Cho,"5776","2014","01604",UNK,JPN
FA001,JPN,Hokkai Do,Urakawa Cho,"13512","2014","01607",UNK,JPN
FA001,JPN,Hokkai Do,Samani Cho,"4811","2014","01608",UNK,JPN
FA001,JPN,Hokkai Do,Erimo Cho,"5234","2014","01609",UNK,JPN
FA001,JPN,Hokkai Do,Erimo Cho,"-89999999","2014","01609",UNK,JPN
FA001,JPN,Hokkai Do,Shinhidaka Cho,"24744","2014","01610",UNK,JPN
FA001,JPN,Hokkai Do,Otofuke Cho,"45485","2014","01631",UNK,JPN
FA001,JPN,Hokkai Do,Shihoro Cho,"6444","2014","01632",UNK,JPN
FA001,JPN,Hokkai Do,Kamishihoro Cho,"5046","2014","01633",UNK,JPN
FA001,JPN,Hokkai Do,Shikaoi Cho,"5654","2014","01634",UNK,JPN
FA001,JPN,Hokkai Do,Shintoku Cho,"6560","2014","01635",UNK,JPN
FA001,JPN,Hokkai Do,Shimizu Cho,"9985","2014","01636",UNK,JPN
FA001,JPN,Hokkai Do,Memuro Cho,"19364","2014","01637",UNK,JPN
FA001,JPN,Hokkai Do,Nakasatsunai Mura,"4111","2014","01638",UNK,JPN
FA001,JPN,Hokkai Do,Sarabetsu Mura,"3359","2014","01639",UNK,JPN
FA001,JPN,Hokkai Do,Taiki Cho,"5916","2014","01641",UNK,JPN
FA001,JPN,Hokkai Do,Hiroo Cho,"7612","2014","01642",UNK,JPN
FA001,JPN,Hokkai Do,Makubetsu Cho,"27682","2014","01643",UNK,JPN
FA001,JPN,Hokkai Do,Ikeda Cho,"7384","2014","01644",UNK,JPN
FA001,JPN,Hokkai Do,Toyokoro Cho,"3420","2014","01645",UNK,JPN
FA001,JPN,Hokkai Do,Honbetsu Cho,"7915","2014","01646",UNK,JPN
FA001,JPN,Hokkai Do,Ashoro Cho,"7454","2014","01647",UNK,JPN
FA001,JPN,Hokkai Do,Rikubetsu Cho,"2610","2014","01648",UNK,JPN
FA001,JPN,Hokkai Do,Urahoro Cho,"5337","2014","01649",UNK,JPN
FA001,JPN,Hokkai Do,Kushiro Cho,"20480","2014","01661",UNK,JPN
FA001,JPN,Hokkai Do,Akkeshi Cho,"10319","2014","01662",UNK,JPN
FA001,JPN,Hokkai Do,Akkeshi Cho,"-89999999","2014","01662",UNK,JPN
FA001,JPN,Hokkai Do,Hamanaka Cho,"6366","2014","01663",UNK,JPN
FA001,JPN,Hokkai Do,Hamanaka Cho,"-89999999","2014","01663",UNK,JPN
FA001,JPN,Hokkai Do,Hamanaka Cho,"-89999999","2014","01663",UNK,JPN
FA001,JPN,Hokkai Do,Shibecha Cho,"8107","2014","01664",UNK,JPN
FA001,JPN,Hokkai Do,Teshikaga Cho,"8018","2014","01665",UNK,JPN
FA001,JPN,Hokkai Do,Tsurui Mura,"2537","2014","01667",UNK,JPN
FA001,JPN,Hokkai Do,Shiranuka Cho,"8849","2014","01668",UNK,JPN
FA001,JPN,Hokkai Do,Betsukai Cho,"-89999999","2014","01691",UNK,JPN
FA001,JPN,Hokkai Do,Betsukai Cho,"15981","2014","01691",UNK,JPN
FA001,JPN,Hokkai Do,Betsukai Cho,"-89999999","2014","01691",UNK,JPN
FA001,JPN,Hokkai Do,Betsukai Cho,"-89999999","2014","01691",UNK,JPN
FA001,JPN,Hokkai Do,Betsukai Cho,"-89999999","2014","01691",UNK,JPN
FA001,JPN,Hokkai Do,Nakashibetsu Cho,"24319","2014","01692",UNK,JPN
FA001,JPN,Hokkai Do,Shibetsu Cho,"5558","2014","01693",UNK,JPN
FA001,JPN,Hokkai Do,Rausu Cho,"5787","2014","01694",UNK,JPN
FA001,JPN,Hokkai Do,shikotan-mura,"-89999999","2014","01695",UNK,JPN
FA001,JPN,Hokkai Do,shikotan-mura,"-89999999","2014","01695",UNK,JPN
FA001,JPN,Hokkai Do,shikotan-mura,"-89999999","2014","01695",UNK,JPN
FA001,JPN,Hokkai Do,shikotan-mura,"-89999999","2014","01695",UNK,JPN
FA001,JPN,Hokkai Do,Shikotan Mura,"-99999999","0","01695",UNK,JPN
FA001,JPN,Hokkai Do,Tomari Mura,"-99999999","0","01696",UNK,JPN
FA001,JPN,Hokkai Do,Ruyabetsu Mura,"-99999999","0","01697",UNK,JPN
FA001,JPN,Hokkai Do,Rubetsu Mura,"-99999999","0","01698",UNK,JPN
FA001,JPN,Hokkai Do,Rubetsu Mura,"-89999999","2014","01698",UNK,JPN
FA001,JPN,Hokkai Do,Rubetsu Mura,"-89999999","2014","01698",UNK,JPN
FA001,JPN,Hokkai Do,Shana Mura,"-99999999","0","01699",UNK,JPN
FA001,JPN,Hokkai Do,Shibetoro Mura,"-99999999","0","01700",UNK,JPN
FA001,JPN,Aomori Ken,Aomori Shi,"298416","2014","02201",UNK,JPN
FA001,JPN,Aomori Ken,Hirosaki Shi,"180370","2014","02202",UNK,JPN
FA001,JPN,Aomori Ken,Hachinohe Shi,"238867","2014","02203",UNK,JPN
FA001,JPN,Aomori Ken,Kuroishi Shi,"35841","2014","02204",UNK,JPN
FA001,JPN,Aomori Ken,Goshogawara Shi,"-89999999","2014","02205",UNK,JPN
FA001,JPN,Aomori Ken,Goshogawara Shi,"59043","2014","02205",UNK,JPN
FA001,JPN,Aomori Ken,Towada Shi,"64708","2014","02206",UNK,JPN
FA001,JPN,Aomori Ken,Misawa Shi,"41931","2014","02207",UNK,JPN
FA001,JPN,Aomori Ken,Mutsu Shi,"62402","2014","02208",UNK,JPN
FA001,JPN,Aomori Ken,Tsugaru Shi,"35534","2014","02209",UNK,JPN
FA001,JPN,Aomori Ken,Hirakawa Shi,"33241","2014","02210",UNK,JPN
FA001,JPN,Aomori Ken,Hiranai Machi,"-89999999","2014","02301",UNK,JPN
FA001,JPN,Aomori Ken,Hiranai Machi,"12242","2014","02301",UNK,JPN
FA001,JPN,Aomori Ken,Hiranai Machi,"-89999999","2014","02301",UNK,JPN
FA001,JPN,Aomori Ken,Imabetsu Machi,"3110","2014","02303",UNK,JPN
FA001,JPN,Aomori Ken,Yomogita Mura,"3122","2014","02304",UNK,JPN
FA001,JPN,Aomori Ken,Sotogahama Machi,"-89999999","2014","02307",UNK,JPN
FA001,JPN,Aomori Ken,Sotogahama Machi,"7012","2014","02307",UNK,JPN
FA001,JPN,Aomori Ken,Ajigasawa Machi,"11302","2014","02321",UNK,JPN
FA001,JPN,Aomori Ken,Fukaura Machi,"9415","2014","02323",UNK,JPN
FA001,JPN,Aomori Ken,Fukaura Machi,"-89999999","2014","02323",UNK,JPN
FA001,JPN,Aomori Ken,Nishimeya Mura,"1488","2014","02343",UNK,JPN
FA001,JPN,Aomori Ken,Fujisaki Machi,"15724","2014","02361",UNK,JPN
FA001,JPN,Aomori Ken,Owani Machi,"10773","2014","02362",UNK,JPN
FA001,JPN,Aomori Ken,Inakadate Mura,"8222","2014","02367",UNK,JPN
FA001,JPN,Aomori Ken,Itayanagi Machi,"14861","2014","02381",UNK,JPN
FA001,JPN,Aomori Ken,Tsuruta Machi,"13990","2014","02384",UNK,JPN
FA001,JPN,Aomori Ken,Nakadomari Machi,"-89999999","2014","02387",UNK,JPN
FA001,JPN,Aomori Ken,Nakadomari Machi,"12490","2014","02387",UNK,JPN
FA001,JPN,Aomori Ken,Noheji Machi,"14452","2014","02401",UNK,JPN
FA001,JPN,Aomori Ken,Shichinohe Machi,"17028","2014","02402",UNK,JPN
FA001,JPN,Aomori Ken,Rokunohe Machi,"10883","2014","02405",UNK,JPN
FA001,JPN,Aomori Ken,Yokohama Machi,"4965","2014","02406",UNK,JPN
FA001,JPN,Aomori Ken,Tohoku Machi,"19128","2014","02408",UNK,JPN
FA001,JPN,Aomori Ken,Rokkasho Mura,"10888","2014","02411",UNK,JPN
FA001,JPN,Aomori Ken,Oirase Cho,"25207","2014","02412",UNK,JPN
FA001,JPN,Aomori Ken,Oma Machi,"-89999999","2014","02423",UNK,JPN
FA001,JPN,Aomori Ken,Oma Machi,"5994","2014","02423",UNK,JPN
FA001,JPN,Aomori Ken,Higashidori Mura,"7099","2014","02424",UNK,JPN
FA001,JPN,Aomori Ken,Kazamaura Mura,"2230","2014","02425",UNK,JPN
FA001,JPN,Aomori Ken,Sai Mura,"2361","2014","02426",UNK,JPN
FA001,JPN,Aomori Ken,Sannohe Machi,"11410","2014","02441",UNK,JPN
FA001,JPN,Aomori Ken,Gonohe Machi,"18792","2014","02442",UNK,JPN
FA001,JPN,Aomori Ken,Takko Machi,"6317","2014","02443",UNK,JPN
FA001,JPN,Aomori Ken,Nanbu Cho,"19899","2014","02445",UNK,JPN
FA001,JPN,Aomori Ken,Hashikami Cho,"14278","2014","02446",UNK,JPN
FA001,JPN,Aomori Ken,Shingo Mura,"2823","2014","02450",UNK,JPN
FA001,JPN,Iwate Ken,Morioka Shi,"295680","2014","03201",UNK,JPN
FA001,JPN,Iwate Ken,Miyako Shi,"57459","2014","03202",UNK,JPN
FA001,JPN,Iwate Ken,Miyako Shi,"-89999999","2014","03202",UNK,JPN
FA001,JPN,Iwate Ken,Ofunato Shi,"39134","2014","03203",UNK,JPN
FA001,JPN,Iwate Ken,Hanamaki Shi,"100722","2014","03205",UNK,JPN
FA001,JPN,Iwate Ken,Kitakami Shi,"93930","2014","03206",UNK,JPN
FA001,JPN,Iwate Ken,Kuji Shi,"37488","2014","03207",UNK,JPN
FA001,JPN,Iwate Ken,Tono Shi,"29402","2014","03208",UNK,JPN
FA001,JPN,Iwate Ken,Ichinoseki Shi,"125934","2014","03209",UNK,JPN
FA001,JPN,Iwate Ken,Rikuzentakata Shi,"20565","2014","03210",UNK,JPN
FA001,JPN,Iwate Ken,Rikuzentakata Shi,"-89999999","2014","03210",UNK,JPN
